Model,Params(M),Flops(GFLOPs),Inference Time(ms)
EEGNet,0.0539 ,0.0723 ,0.0158 
ShallowCNN,0.6532 ,0.2706 ,0.0195 
DeepCNN,1.2841 ,0.1194 ,0.0276 
1D-LSTM,1.0010 ,0.0678 ,0.0252 
Conformer,0.8573 ,0.3409 ,0.0836 
GWNet,0.8309 ,1.6348 ,0.0739 
MSNet,0.6620 ,1.3265 ,0.0378 
DARNNet,2.7616 ,0.8129 ,0.0653 
DRFNet,0.3016 ,1.0601 ,0.0518 
MCGPnet,0.0156 ,1.1313 ,0.6053 
IFNet,0.0147 ,0.0305 ,0.0121 
FBCNet,0.0008 ,0.0031 ,0.0061 
FBMSNet,0.0070 ,0.8294 ,0.0162 
BrainprintNet,0.0852 ,0.9744 ,0.0121 
